Richmond,VA,Richmond Coliseum,"5,000",[208]
Moon,PA,"Atlantic Aviation PIT, Pittsburgh International Airport","1,500",[209]
Tampa,FL,Tampa Convention Center,"4,000",[210]
Greensboro,NC,Greensboro Coliseum Complex,"6,200",[211]
Atlanta,GA,Fox Theatre,"3,500",[212]
Dallas,TX,Gilley's Club,"3,600",[213]
The Woodlands,TX,The Woodlands Waterway Marriott Hotel & Conference Center,"5,000",[214]
Las Vegas,NV,"Mystère Theatre, Treasure Island Hotel and Casino","1,600",[215]
Phoenix,AZ,"Arizona Veterans Memorial Coliseum, Arizona State Fairgrounds","6,000",[216]
St. Clairsville,OH,"Health and Physical Education Center, Ohio University Eastern Campus","4,000",[217][218]
Bangor,ME,Cross Insurance Center,"4,000",[219]
Raleigh,NC,"Raleigh Memorial Auditorium, Duke Energy Center for the Performing Arts","2,300",[220]
Cincinnati,OH,Sharonville Convention Center,"7,000",[221]
Westfield,IN,"Grand Park Event Center, Grand Park","2,000",[222]
Winston-Salem,NC,"Winston-Salem Fairground Annex, Dixie Classic Fairgrounds","4,700",[223]
Scranton,PA,"Student Union Gymnasium, Lackawanna College","3,500",[224]
Toledo,OH,Huntington Center,"8,900",[225]
Cedar Rapids,IA,DoubleTree Hotel Cedar Rapids Convention Complex,"3,000",[226]
Davenport,IA,Adler Theatre,"2,400",[226]
Colorado Springs,CO,"Gallogly Event Center, University of Colorado Colorado Springs","2,500",[227]
Denver,CO,Wings Over the Rockies Air and Space Museum,"6,000",[228]
Columbus,OH,Greater Columbus Convention Center,"1,000",[229]
Mechanicsburg,PA,Cumberland Valley High School,"5,000",[230]
Ashburn,VA,Briar Woods High School,800,[231]
Daytona Beach,FL,Ocean Center,"10,000",[232]
Jacksonville,FL,Jacksonville Veterans Memorial Arena,"10,000",[233]
Portland,ME,Merrill Auditorium,"1,600",[234]
Des Moines,IA,Iowa Events Center,"6,000",[235]
Green Bay,WI,KI Convention Center,"3,000",[236]
Windham,NH,Windham High School,"1,500",[237]
Fayetteville,NC,Crown Arena,"3,000",[238]
Wilmington,NC,"Trask Coliseum, University of North Carolina at Wilmington",,[239]
Sunrise,FL,BB&T Center,,[240]
Kissimmee,FL,Silver Spurs Arena,"8,000",[241]
Altoona,PA,Blair County Convention Center,"5,000",[242]
Erie,PA,Erie Insurance Arena,"8,000",[243]
Fairfield,CT,"William H. Pitt Center, Sacred Heart University","5,000",[244]
West Bend,WI,"Ziegler Family Expo Center, Washington County Fair Park & Conference Center","2,000",[245]
Charlotte,NC,Charlotte Convention Center,"5,000",[246]
Dimondale,MI,The Summit Sports and Ice Complex,"5,000",[247]
Fredericksburg,VA,Fredericksburg Expo & Conference Center,"3,600",[248]
Akron,OH,"James A. Rhodes Arena, University of Akron","5,000",[249]
Austin,TX,Luedecke Arena,"7,000",[250]
Tampa,FL,"Entertainment Hall, Florida State Fairgrounds","3,000",[251]
Jackson,MS,Mississippi Coliseum,,[252][253][254][255]
Manchester,NH,Radisson Hotel Manchester Downtown,900,[256]
Everett,WA,Xfinity Arena,,[257]
Phoenix,AZ,Phoenix Convention Center,"7,500",[258]
Wilmington,OH,Roberts Centre,"5,500",[259]
Greenville,NC,Greenville Convention Center,"3,000",[260]
Pensacola,FL,Pensacola Bay Center,"12,500",[261]
Asheville,NC,U.S. Cellular Center,"6,000",[262]
Clive,IA,7 Flags Event Center,"1,600",[263]
Canton,OH,Canton Memorial Civic Center,"6,000",[264]
Laconia,NH,Laconia Middle School,600,[265][266][267]
Miami,FL,Knight Center Complex,,[268][269]
Colorado Springs,CO,"Colorado Jet Center, Colorado Springs Airport",,[270]
Estero,FL,Germain Arena,"8,000",[271]
High Point,NC,"Millis Athletic Convocation Center, High Point University","2,000",[272]
Kenansville,NC,Duplin County Events Center,"6,000",[273]
Toledo,OH,Stranahan Theater,,[274][275]
